scope,model_key,alpha,p_event,history_class,gate_failing_trajectories
scenario,partial_hic_fallback,1.5,0.09,deletion_only,2486
scenario,partial_hic_fallback,1.5,0.09,duplication_only_history,222
scenario,partial_hic_fallback,1.5,0.09,earlier_deletion_only,265
scenario,partial_hic_fallback,1.5,0.09,earlier_deletion_with_nondeletion,215
scenario,partial_hic_fallback,1.5,0.09,inversion_only_history,793
scenario,partial_hic_fallback,1.5,0.09,mixed_inversion_duplication,131
scenario,partial_hic_fallback,1.5,0.1,deletion_only,2513
scenario,partial_hic_fallback,1.5,0.1,duplication_only_history,282
scenario,partial_hic_fallback,1.5,0.1,earlier_deletion_only,285
scenario,partial_hic_fallback,1.5,0.1,earlier_deletion_with_nondeletion,243
scenario,partial_hic_fallback,1.5,0.1,inversion_only_history,913
scenario,partial_hic_fallback,1.5,0.1,mixed_inversion_duplication,169
scenario,partial_hic_fallback,1.5,0.12,deletion_only,2724
scenario,partial_hic_fallback,1.5,0.12,duplication_only_history,309
scenario,partial_hic_fallback,1.5,0.12,earlier_deletion_only,321
scenario,partial_hic_fallback,1.5,0.12,earlier_deletion_with_nondeletion,359
scenario,partial_hic_fallback,1.5,0.12,inversion_only_history,1116
scenario,partial_hic_fallback,1.5,0.12,mixed_inversion_duplication,222
scenario,partial_hic_fallback,1.5,0.15,deletion_only,2895
